Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
07/03/2025,15:30,ADVANCED MICRO DEVICES,US0079031078,NDQ,XNAS,90,98.84,USD,-8895.6,USD,-8185.93,EUR,1.09,-2,EUR,-8187.93,EUR,ebbbe182-4905-41a6-98e0-3136077f8f34
06/03/2025,21:58,AMAZON.COM INC,US0231351067,TDG,XGAT,-50,186,EUR,9300,EUR,9300,EUR,,-3.9,EUR,9296.1,EUR,37c9a71f-e0b2-4624-b21b-f6cd6161943a
05/03/2025,15:30,ADVANCED MICRO DEVICES,US0079031078,NDQ,XNAS,1,100.36,USD,-100.36,USD,-93.34,EUR,1.08,-2,EUR,-95.34,EUR,2a3f2f3c-8424-4af1-b47c-e1b9f5be39e0
10/12/2024,08:00,INTEL CORP,US4581401001,TDG,XGAT,175,19.65,EUR,-3438.75,EUR,-3438.75,EUR,,-3.9,EUR,-3442.65,EUR,371dc0bd-da3a-48dc-b48f-81961e0ad3bc
09/12/2024,15:30,SALESFORCE.COM INC COM,US79466L3024,NSY,XNYS,-10,361.7,USD,3617,USD,3419.06,EUR,1.06,-2,EUR,3417.06,EUR,4de09036-0d2d-43bd-8baf-9433203cfc22
09/12/2024,13:25,INTEL CORP,US4581401001,TDG,XGAT,165,19.78,EUR,-3263.7,EUR,-3263.7,EUR,,-3.9,EUR,-3267.6,EUR,3f1a90d8-4e27-4a83-bfc1-aecd8a784802
09/12/2024,13:18,JUPITER FND,GB00B53P2009,LSE,MESI,-2020,87.3,GBX,176346,GBX,2131.07,EUR,82.75,-4.9,EUR,2126.17,EUR,33febf28-d977-42fd-a92c-315d532c6636
09/12/2024,13:16,SYNCONA LIMITED,GG00B8P59C08,LSE,MESI,-1000,102.4,GBX,102400,GBX,1237.17,EUR,82.77,-4.9,EUR,1232.27,EUR,9cf21ecd-5581-49a4-9537-5f568933c1d6
05/12/2024,16:44,INTEL CORP,US4581401001,TDG,XGAT,70,19.936,EUR,-1395.52,EUR,-1395.52,EUR,,-3.9,EUR,-1399.42,EUR,5d77fe32-6de1-4105-884e-06ec1ea76f81
05/12/2024,09:00,BANK OF IRELAND GROUP PLC,IE00BD1RP616,IRL,XMSM,-151,8.438,EUR,1274.14,EUR,1274.14,EUR,,-3,EUR,1271.14,EUR,ceb741f2-1e80-4942-a0b6-89d9e2e82566
14/11/2024,09:00,KINGSPAN GRP PLC,IE0004927939,IRL,XMSM,-1,74.75,EUR,74.75,EUR,74.75,EUR,,-3,EUR,71.75,EUR,868959ad-dde3-47d0-ac6d-4be91517ab27
13/11/2024,10:35,INTEL CORP,US4581401001,TDG,XGAT,150,22.57,EUR,-3385.5,EUR,-3385.5,EUR,,-3.9,EUR,-3389.4,EUR,04497d67-9e5e-4b39-88b6-7420e9fb70bd
01/10/2024,14:20,KINGSPAN GRP PLC,IE0004927939,IRL,XMSM,-1,85,EUR,85,EUR,85,EUR,,-3,EUR,82,EUR,1f387cf1-1013-46aa-8857-0ce615d5a0a1
30/09/2024,14:23,INTEL CORP,US4581401001,TDG,XGAT,1,20.98,EUR,-20.98,EUR,-20.98,EUR,,-3.9,EUR,-24.88,EUR,01d7f1bb-3bba-4f03-84d4-20170a752565
24/07/2024,10:31,RYANAIR HOLDINGS PLC,IE00BYTBXV33,IRL,MESI,80,13.95,EUR,-1116,EUR,-1116,EUR,,-3,EUR,-1119,EUR,79f83b52-81f9-4c23-ac29-9b372b2da9bc
15/07/2024,15:21,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,NSY,,8,0,USD,0,USD,0,EUR,1.08,,EUR,0,EUR,
15/07/2024,15:21,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,TDG,,-8,0,EUR,0,EUR,0,EUR,,,EUR,0,EUR,
27/06/2024,08:00,BOEING CO,US0970231058,TDG,XGAT,30,166.98,EUR,-5009.4,EUR,-5009.4,EUR,,-3.9,EUR,-5013.3,EUR,1750aa81-1841-4bf8-8d25-0848dbab12ae
24/05/2024,00:00,CAPRICORN ENERGY PLC,GB00BNKT5L33,LSE,,103,249.7419,GBX,-25723.42,GBX,-301.04,EUR,85.45,,EUR,-301.04,EUR,
24/05/2024,00:00,CAPRICORN ENERG,GB00BRJ7R218,LSE,,-132,196,GBX,25872,GBX,302.78,EUR,85.45,,EUR,302.78,EUR,
11/04/2024,15:52,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,285,70,EUR,-19950,EUR,-19950,EUR,,-3.9,EUR,-19953.9,EUR,58c5a254-102d-4610-a71d-c71b62a19310
18/03/2024,21:25,ADR ON ALIBABA GROUP HOLDING,US01609W1027,TDG,XGAT,12,67.7,EUR,-812.4,EUR,-812.4,EUR,,-3.9,EUR,-816.3,EUR,085e1feb-ee26-4e08-85a2-70238ae8f49a
27/02/2024,13:28,AMRYT PHARMA PLC - AMERICAN DEPOSITARY SHARES - NON TRADEABLE,US032CVR0115,DEG,,-1000,0,USD,0,USD,0,EUR,1.07,,EUR,0,EUR,
27/02/2024,12:39,AMRYT PHARMA PLC - AMERICAN DEPOSITARY SHARES - NON TRADEABLE,US032CVR0297,DEG,,-1000,0,USD,0,USD,0,EUR,1.07,,EUR,0,EUR,
27/02/2024,00:00,HANETF S&P GLOBAL CLEAN ENERGY SELECT HANZEROâ„¢ UCITS ETF ACC,IE00BLH3CQ86,XET,,-600,3.8575,EUR,2314.5,EUR,2314.5,EUR,,,EUR,2314.5,EUR,
27/02/2024,00:00,HANETF ICLIMA GLOBAL DECARBONISATION ENABLERS UCITS ETF,IE00BNC1F287,XET,,412,5.611,EUR,-2311.73,EUR,-2311.73,EUR,,,EUR,-2311.73,EUR,
31/01/2024,17:06,BOEING CO,US0970231058,TDG,XGAT,2,194.06,EUR,-388.12,EUR,-388.12,EUR,,-3.9,EUR,-392.02,EUR,a026fb5e-e677-4049-b62f-467193a91538
