Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price ,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,,
28-03-2025,15:05,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"1,290",25.8500,EUR,"-33,346.50",EUR,"-33,346.50",,0.00,,"-33,346.50",,fc4ee675-65af-45df-aea8-5adf05e6270b,
28-03-2025,15:05,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,110,25.8500,EUR,"-2,843.50",EUR,"-2,843.50",,0.00,,"-2,843.50",,fc4ee675-65af-45df-aea8-5adf05e6270b,
28-03-2025,15:05,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"1,100",25.8450,EUR,"-28,429.50",EUR,"-28,429.50",,0.00,-3.00,"-28,432.50",,fc4ee675-65af-45df-aea8-5adf05e6270b,
19-03-2025,13:28,WISDOMTREE MANAGEMENT LTD.,IE0002Y8CX98,XET,XETA,550,26.9600,EUR,"-14,828.00",EUR,"-14,828.00",,0.00,-3.00,"-14,831.00",,f1ef7c16-4a86-49f3-a3be-058fa1139ba1,
17-03-2025,14:46,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,"-2,445",27.0000,EUR,"66,015.00",EUR,"66,015.00",,0.00,,"66,015.00",,e62e91e0-0655-4cdb-9af7-37bd8d6df879,
17-03-2025,14:46,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-75,27.0000,EUR,"2,025.00",EUR,"2,025.00",,0.00,,"2,025.00",,e62e91e0-0655-4cdb-9af7-37bd8d6df879,
17-03-2025,14:46,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-75,27.0000,EUR,"2,025.00",EUR,"2,025.00",,0.00,,"2,025.00",,e62e91e0-0655-4cdb-9af7-37bd8d6df879,
17-03-2025,14:46,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-75,27.0000,EUR,"2,025.00",EUR,"2,025.00",,0.00,,"2,025.00",,e62e91e0-0655-4cdb-9af7-37bd8d6df879,
17-03-2025,14:46,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-75,27.0000,EUR,"2,025.00",EUR,"2,025.00",,0.00,,"2,025.00",,e62e91e0-0655-4cdb-9af7-37bd8d6df879,
17-03-2025,14:46,BOOST EURO STOXX BANKS 3X LEVERAGE DAILY,IE00BLS09N40,MIL,ETFP,-550,27.0000,EUR,"14,850.00",EUR,"14,850.00",,0.00,-3.00,"14,847.00",,e62e91e0-0655-4cdb-9af7-37bd8d6df879,
07-03-2025,18:25,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,6,89.7200,EUR,-538.32,EUR,-538.32,,0.00,-3.90,-542.22,,822bec8f-2e99-4fb0-a643-4089abce614a,
06-03-2025,20:55,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,223,92.1200,EUR,"-20,542.76",EUR,"-20,542.76",,0.00,-3.90,"-20,546.66",,ead58e05-83f1-4247-a7e1-aef448b8bc97,
06-03-2025,20:54,AMAZON.COM INC,US0231351067,TDG,XGAT,-114,185.0600,EUR,"21,096.84",EUR,"21,096.84",,0.00,-3.90,"21,092.94",,69aad6ca-b546-4e81-8acd-d71886e0b2dc,
06-03-2025,20:52,ADVANCED MICRO DEVICES INC,US0079031078,TDG,XGAT,23,92.6100,EUR,"-2,130.03",EUR,"-2,130.03",,0.00,-3.90,"-2,133.93",,de0ca662-8f4d-4f84-b6f8-c9d7b4eeff63,
